No. dossier,Nom organisme / programme,Situé à,Description,Tél. de bureau,Site internet / Courriel
QBC4408,"211 Canada, Informations générales",Canada,Opérateur agence 211,,
QBC0059,"211 information d'urgence, Crise en Ukraine, Informations générales",International,Québec - Aide matérielle et dons. Le gouvernement du Canada versera un montant équivalent au total des dons admissibles (ne dépassant pas 100 000 $) faits par les Canadiens au Fonds de...,2-1-1,
CQE1563,"Abercorn, Hôtel de ville",Abercorn,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-538-2664,
CQE0082,Action communautaire Lac-Brome,Lac-Brome,"Promotion de l'entraide et l'amélioration des conditions de vies des citoyens de Lac-Brome, Bolton Ouest et Brome. Soutien et accompagnement des membres de la communauté, aide à l'intégration",450-830-1016,actioncommunautairelacbrome@gmail.com
QBC2141,Admission FP,Québec (Province),"Réception et gestion des demandes d'admission en formation professionnelle, demande d'admission à un programme, inscription à élève d'un jour, Recherche par programme, centre de services scolaire",514-864-2200,
QBC1945,Al-Anon / Alateen - Est du Québec - Groupes familiaux,Québec (Province),"Aide afin d'apprendre à vivre avec une personne alcoolique, qu'elle soit sobre ou non. Réunions offrant de l'aide et du soutien afin de faire face aux conséquences",,
CQE1428,Al-Anon / Alateen - Ouest du Québec - Groupes familiaux,Québec (Province),"Aide afin d'apprendre à vivre avec une personne alcoolique, qu'elle soit sobre ou non. Réunions offrant de l'aide et du soutien afin de faire face aux conséquences",819-820-5085,
QBC1948,Alcochoix +,Québec (Province),"Programme de prévention pour adultes préoccupés par leur consommation d'alcool et désirant modifier leurs habitudes. Trois formules : autonome - progression à l'aide du guide Alcochoix+, durée six-huit semaines",,
QBC4879,Anxiété Canada,Canada,"Soutien les canadiens en les éduquant et en les orientant vers des praticiens et des programmes sur la gestion de l'anxiété et des troubles anxieux, maintien des cours et des programmes en ligne",,
CQE1610,Association Action-plus Brome-Missisquoi (L'),Cowansville,"Promotion de la défense des droits sociaux, aide auprès des personnes assistées sociales ou vivant sous le seuil de la pauvreté, sensibilisation et information de la population concernant la pauvreté",Défense 450-293-2123 / Activités 450-558-0959,
CQE1642,Association Avante,Bedford,"Centre de femmes visant à briser l'isolement, développement du plein potentiel et prise en main des femmes, défense des droits féminins concernant l'autonomie et l'égalité, développement des compétences",450-248-0530,
CQE1595,"Association coopérative d'économie familiale Montérégie-Est, Point de service de Cowansville",Cowansville,"Sensibilisation et information en matière de budget, d'endettement, de consommation et de logement, consultation budgétaire gratuite, cours et aide sur le budget et l'endettement, défense des droits",450-305-0440,
CQE1593,Association d'entraide en santé mentale de Brome-Missisquoi l'Éveil,Cowansville,"Maintien et réinsertion sociale dans la communauté des personnes qui ont des difficultés d'ordre émotionnel ou des problèmes liés à la santé mentale, suivi individuel et soutien adapté aux besoins",450-263-6240 poste 0,
CQE1628,Association de locataires des HLM Farnham,Farnham,"Développement d'interventions sociales et communautaires dans les HLM en collaboration avec les groupes du milieu, représentation des locataires et défense des intérêts, organisation d'activités",450-337-0855,
CQE1601,Association de parents de personnes handicapées Brome-Missisquoi,Cowansville,"Regroupement des parents de personnes (dès 6 ans) vivant avec une déficience intellectuelle (DI) ou un trouble du spectre de l'autisme (TSA), activités de loisirs, d'apprentissage et de socialisation",450-266-1566,
QBC0854,Association des conseillères et des conseillers pédagogiques du Québec,Québec (Province),Développement et reconnaissance de la profession de conseillère et conseiller pédagogique,,
CQE1570,Association des personnes handicapées physiques de Brome-Missisquoi,Cowansville,"Soutien aux personnes adulte de la MRC de Brome Missisquoi vivant avec un handicap physique ou sensoriel adulte, sensibilisation de la population, des instances publiques, des commerçants",450-266-4744,
CQE1715,"Association des Townshippers, Point de service Lac-Brome",Lac-Brome,"Promotion et soutien des intérêts de la communauté minoritaire d'expression anglaise de la région des Cantons-de-l'Est au Québec, accueil, écoute et référence, renforcement de l'identité culturelle",819-566-5717,
CQE0089,"Association féministe d'éducation et d'action sociale, Association locale secteur de Cowansville, Secrétariat régional Estrie",Cowansville,"Promotion des droits des femmes et amélioration de la société par l'éducation et l'action sociale, soutien à l'obtention d'identité propre, statut égal, liberté de choix et autonomie des femmes",450-525-4155,
CQE1635,Association Garagona,Frelighsburg,"Soutien aux enfants, adolescents et adultes vivant avec une déficience intellectuelle ou un trouble du spectre de l'autisme (TSA), fins de semaine de répit, camp de vacances estival, ateliers",450-298-5159,
CQE1682,Association PANDA Brome-Missisquoi,Brome-Missisquoi (MRC),"Soutien, information et orientation des adultes, enfants et parents d'enfants vivant avec un trouble du déficit de l'attention (TDAH) ou un trouble associé, promotion des droits de ces personnes",450-248-3737,
QBC3370,Association pour le recyclage des produits électroniques du Québec,Québec (Province),Portail Internet de localisation des points de dépôt pour le recyclage des appareils électroniques,,
CQE0281,Association québécoise des SPA et SPCA,,"Regroupement d'organisations indépendantes d'expertise de la protection, du contrôle et du bien-être animal",,
QBC3305,Association X Fragile Québec,Québec (Province),"Offre aux parents l'occasion de partager des expériences, des trucs, des stratégies permettant de simplifier la routine et d'améliorer la qualité de vie des familles touchées par le syndrome du X fragile",,
CQE1663,"Avenue profession'elle, Point de service Cowansville",Cowansville,"Intégration socioprofessionnelle des femmes en les soutenant dans l'apprentissage et la pratique d'un métier à prédominance masculine, démarche d'orientation, soutien et accompagnement à la recherche",450-266-0993,
CQE0088,Banque alimentaire Lac-Brome,Lac-Brome,"Collecte et distribution d'aliments aux personnes à faible revenu, banque alimentaire, récupération de denrées alimentaires non périssables, Paniers de Noël pour les municipalités",450-242-2020 poste 319,
CQE1564,"Bedford (Canton), Hôtel de ville",Bedford (Canton),"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-248-7576,
CQE1565,"Bedford, Hôtel de ville",Bedford,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-248-2440,
CQE1566,"Bolton-Ouest, Hôtel de ville",Bolton-Ouest,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-242-2704,
CQE1567,"Brigham, Hôtel de ville",Brigham,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-263-5942,
CQE1598,"Brome, Hôtel de ville",Brome,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-243-0489,
CQE1588,"Bromont, Hôtel de ville",Bromont,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-534-2021,
CQE1544,"Canada, Députés fédéraux des régions Centre-du-Québec et Estrie, Informations générales",Canada,"Liste des Députés fédéraux : Centre-du-Québec Bécancour-Nicolet-Saurel Louis Plamondon (BQ) Bureau principal - Sorel-Tracy : 307, route Marie-Victorin, Sorel-Tracy, 450-742-0479",613-992-4793,
QBC4836,"Canada, Santé Canada, Ligne d'aide en cas de crise de suicide",Québec (Province),"Prévention du suicide et soutien par téléphone et par messagerie texte au niveau national, services de prévention du suicide culturellement adapté, accès à des ressources en ligne, des lignes d'aide",,
CQE1633,"Canada, Service Canada, Centre Service Canada Cowansville",Cowansville,"Guichet gouvernemental unique pour un accès à une variété de programmes et de services, aide à la localisation et au dépôt de demandes pour les programmes gouvernementaux Services Canadiens",,
QBC4856,"Canada, Services aux Autochtones Canada, Principe de Jordan",Canada,"Accès aux produits, services et soutiens pour tous les enfants des Premières Nations au Canada, financement pour les besoins en santé, services sociaux et éducation",,
QBC4851,"Canada, Services aux Autochtones Canada, Programme d'aide au revenu dans les réserves",Canada,"Programme d'aide de dernier recours pour les personnes admissibles et leur famille pour les besoins de base : nourriture, vêtements, loyer, allocation pour les services publics",,
QBC4854,"Canada, Services aux Autochtones Canada, Programme de logement dans les réserves des Premières Nations",Canada,"Programme d'aide au logement dans les communautés et réserves des Premières Nations, financement partiel de logements",,
QBC4855,"Canada, Services aux Autochtones Canada, Programme de soutien des pensionnats indiens",Canada,"Soutien culturel et émotionnel, ainsi que des services de consultation en santé mentale aux survivants des pensionnats et aux familles des anciens élèves, counseling en santé mentale",https://www.sac-isc.gc.ca/fra/1584735005944/1585147200057,
QBC4853,"Canada, Services aux Autochtones Canada, Programme de soutien en santé aux anciens élèves des externats indiens fédéraux",Canada,"Services de soutien en santé pour les personnes ayant vécues un traumatisme par leur fréquentation d'un externat indien fédéral historique, counselling en santé mentale, soutien émotionnel",Québec : 1-877-583-2965 / Atlantique : 1-866-414-8111,
QBC4852,"Canada, Services aux Autochtones Canada, Programme de soutien en santé et en culture pour les femmes et les filles autochtones disparues et assassinées",Canada,"Services de soutien en santé pour les survivants, les membres de la famille et les personnes touchées par la question des femmes et des filles autochtones disparues et assassinées",,
QBC4849,"Canada, Services aux Autochtones Canada, Programme des Services de santé non assurés",Canada,"Programme offrant une couverture pour une gamme de prestations de santé : soins de la vue et dentaires, counseling en santé mentale, équipements et fournitures médicales, médicaments sur ordonnance",,
QBC4857,"Canada, Services aux Autochtones Canada, Programme national de lutte contre l'abus de l'alcool et des drogues chez les Autochtones",Canada,"Soutien un réseau national de 52 centres de traitement pour patients hospitalisés totalisant environ 700 lits, renseignements généraux sur ces centres",,
QBC4850,"Canada, Services aux Autochtones Canada, Services de soutien post-majorité pour les jeunes et les jeunes adultes des Premières Nations",Canada,Soutien aux jeunes autochtones quittant le système de protection de l'enfance et les jeunes adultes anciennement pris en charge dans toutes les provinces et au Yukon,,
CQE1656,"Carrefour jeunesse-emploi comtés Iberville et Saint-Jean, Point de service Farnham",Farnham,"Aide à l'intégration professionnelle et sociale des jeunes adultes, orientation scolaire et professionnelle, aide pour le retour aux études, aide à la recherche d'emploi : techniques d'entrevue",450-293-0923,
CQE1639,"Carrefour jeunesse-emploi des Cantons de l'Est, Point de service Cowansville",Cowansville,"Aide à l'intégration professionnelle et sociale des jeunes adultes, services avec ou sans rendez-vous, emploi : curriculum vitæ, lettre de présentation, entrevue, marché caché de l'emploi",450-266-0993,
CQE1625,Cellule Jeunes et familles de Brome-Missisquoi,Cowansville,"Centre d'aide favorisant l'accès aux ressources et l'autonomie, promotion de saines habitudes de vie et prévention des dépendances, accueil, écoute, information, soutien téléphonique, aide juridique",450-260-1823,
CQE1643,Centre d'action bénévole de Bedford (Canton) et environs,Bedford (Canton),"Promotion et valorisation du bénévolat, soutien à la communauté, épicerie-partage, épicerie-partage de Noël, dépannage alimentaire, aide pour remplir des formulaires, aide à la préparation des documents",450-248-2473,
CQE1620,Centre d'action bénévole de Cowansville,Cowansville,"Promotion et développement des organismes bénévoles de la région, repas communautaire, possibilité de bénévolat, services aux organismes (offre de bénévoles), carrefour d'information aux aînés",450-263-3758,
CQE1619,"Centre d'action bénévole de Cowansville, Dépannage alimentaire",Cowansville,Collecte et distribution de denrées alimentaires,450-263-3758,
CQE1621,"Centre d'action bénévole de Cowansville, Volet transport",Cowansville,"Aide au maintien à domicile des aînés, accompagnement transport pour les commissions, transport médical (traitements d'hémodialyse, de physiothérapie, de cancer)",450-263-3758,
CQE1622,Centre d'action bénévole de Farnham,Farnham,"Promotion du bénévolat et soutien à la communauté, accompagnement transport, accompagnement-transport mammographie, accompagnement-transport médical, accompagnement, transport et aide aux courses",450-293-3265,
