No. dossier,Nom organisme / programme,Situé à,Description,Téléphone,Courriel,Site web
QBC0788,Association bénévole Côte-de-Beaupré,Beaupré,"Contribution au maintien à domicile, qualité de vie et défense des intérêts des personnes aidées, lutte contre la pauvreté, popote roulante, accompagnement. Aide à la déclaration de revenus. Pour aînés, personnes malades, handicapées, en perte d'autonomie, isolées.",418-827-8780 / Travail de milieu aînés 418-702-0507,info@associationbenevolecb.com,http://www.associationbenevolecb.com
QBC4394,Association québécoise de défense des droits des personnes retraitées - Accompagnement psychosocial,Des Jésuites (Quartier),"Accompagnement visant à améliorer le pouvoir d'agir, l'autonomie, la confiance en soi, l'équilibre et l'implication des personnes aînées face aux situations difficiles. Pour personnes 50+ retraitées ou préretraitées.",418-524-0437 poste 0,info.aqdrquebec@gmail.com,http://www.aqdr-quebec.org/accompagnement-psychosocial
QBC4347,Association québécoise de défense des droits des personnes retraitées - Travailleurs de milieu (ITMAV),Des Jésuites (Quartier),"Établissement d'une relation entre le besoin de l'aîné et les ressources disponibles, travailleurs de milieu (ITMAV) facilitant les communications, l'écoute et le réconfort. Pour aînés 50+ vulnérables, seuls ou exclus. Plusieurs secteurs desservis.",Administration 418-524-0437 / Montcalm-Saint-Sacrement 581-982-6260 / Sainte-Foy-Sillery 418-952-5674,info.aqdrquebec@gmail.com,http://www.aqdr-quebec.org/intervenants-de-milieu-itmav
QBC0072,Association québécoise de défense des droits des personnes retraitées et préretraitées Québec,Des Jésuites (Quartier),"Défense des droits collectifs et individuels des personnes aînées retraitées ou préretraitées, porte-parole auprès des pouvoirs publics, défense des acquis, aide aux démarches. Pour personnes 50+ retraitées ou préretraitées, ITMAV pour aînés vulnérables.",418-524-0437,info.aqdrquebec@gmail.com,https://www.aqdr-quebec.org/
QBC0790,Centre d'action bénévole de Charlevoix,La Malbaie,"Développement et promotion de l'action bénévole, soutien à domicile des personnes en perte d'autonomie, popote roulante, accompagnement-transport, visites d'amitié, ITMAV pour aînés. Aide à la déclaration de revenus.",418-665-7567 / ITMAV 418-633-2982 / Réseau proches aidants 418-633-4722,admin@abcharlevoix.com,http://www.abcharlevoix.com
QBC4063,"Centre d'action bénévole du Contrefort, Aînés-nous à vous aider! (ANVA)",Saint-Rodrigue (Quartier),"Service de soutien et d'accompagnement à court terme pour personnes de 50 ans et plus, travailleurs de milieu (ITMAV) facilitant les communications, l'écoute et le réconfort. Couverture de nombreux secteurs de Québec.",Ligne principale ANVA 581-689-1319 / Beauport Nord 418-933-1326 / Beauport Sud 581-982-0540 / Charlesbourg Nord 418-933-5483 / Charlesbourg Sud 418-922-0963,info@cabducontrefort.quebec,http://www.cabducontrefort.quebec/aines-nous-a-vous-aider
QBC4052,Fondation AGES,Saint-Roch (Quartier),"Trait d'union entre les services du réseau public (CLSC, cliniques médicales) et les organismes communautaires pour améliorer la qualité de vie des aînés et briser leur isolement. Pour aînés et intervenants communautaires.",581-700-7068,info@fondationages.org,http://fondationages.org
QBC0438,Groupe d'aide aux personnes impulsives (GAPI),Saint-Charles-Borromée (Quartier),"Aide aux hommes ayant des comportements de violence, développement et offre de solutions, formation aux intervenants. Pour hommes 18+ ayant un comportement violent.",418-529-3446,administration@legapi.com,http://www.legapi.com
QBC1003,"Québec, Curateur public du Québec, Direction territoriale Est et bureau de Québec",Saint-Roch (Quartier),"Protection des personnes inaptes, sensibilisation de la population aux besoins de protection découlant de l'inaptitude, accompagnement des familles et proches qui représentent une personne inapte. Pour personnes inaptes, leur famille et proches.",418-643-4108,,http://www.quebec.ca/gouvernement/ministeres-et-organismes/curateur-public
QBC4530,Table de concertation des aînés de Portneuf,Donnacona,"Lieu régional d'échange et de concertation pour les aînés, répertoire des ressources communautaires QG de Portneuf, ITMAV - Entraide aînés Portneuf, navigatrice en gériatrie sociale. Pour aînés 55+.",418-873-0059 / ITMAV Jessie Fortin 418-284-2693 / Vincent Hardy 418-609-0974 / Navigatrice gériatrie 581-669-1016,tableainesportneuf@outlook.com,http://ainesportneuf.com
