No. dossier,Nom organisme / programme,Situé à,Description,Téléphone,Courriel,Site web
QBC1201,Association de la construction du Québec,Saint-Sauveur (Quartier),"Accompagnement des entreprises de construction dans la gestion quotidienne de leurs activités en soutien à leur développement et croissance, répertoire des membres",418-687-4121,acq@acqquebec.org,http://www.acq.org
QBC4874,Association des gens d'affaires de Saint-Basile,Saint-Basile,"Soutien aux organismes et entreprises de Saint-Basile, aide au développement économique de la région, promotion des produits et services des entreprises locales",418-329-2525,francine@oxyportneuf.com,
QBC1355,"Centre de services scolaire de la Capitale, Centre de formation professionnelle de Neufchâtel, Capitale entrepreneur",Neufchâtel Est-Lebourgneuf (Quartier),"Formation en prédémarrage, démarrage d'entreprise et formation continue pour les entrepreneurs, lancement d'entreprise en classe ou virtuelle. 16+",418-686-4040 poste 7150,francois.vaillancourt@cssc.gouv.qc.ca,http://www.capitale-entrepreneur.ca
QBC3821,Coopérative de développement régional du Québec,Duberger-Les Saules (Quartier),"Accompagnement, encadrement, soutien et expertise pour entrepreneurs collectifs à toutes les étapes de vie d'une coopérative ou d'un OBNL",418-687-1354,info@cdrq.coop,http://cdrq.coop
QBC0664,"Coopérative de développement régional du Québec, région Québec - Appalaches",Duberger-Les Saules (Quartier),"Encadrement, soutien et expertise en accompagnement d'entreprises collectives, aide au démarrage de nouvelles coopératives et OBNL",418-687-1354,info@cdrq.coop,http://cdrq.coop
QBC1823,Corporation de développement économique communautaire de Québec,Saint-Roch (Quartier),"Amélioration de la qualité de vie des citoyens par soutien au développement économique communautaire et durable, soutien à la croissance de l'économie sociale",418-525-5526,info@cdec.quebec,http://www.cdec.quebec
QBC2200,Corporation des Récollets,Saint-Sauveur (Quartier),"Accompagnement et aide financière aux personnes désirant réaliser un microprojet afin d'acquérir de nouvelles compétences, soutien au démarrage d'un microprojet artistique ou entrepreneurial. 18+",,recolletsprojets@hotmail.com,
QBC3715,"Cégep Garneau, École d'entrepreneuriat de Québec",Saint-Sacrement (Quartier),"Développement des compétences et connaissances entrepreneuriales, soutien au démarrage de jeunes entreprises, parcours Démarrage. 18+",418-687-5851,info@ecoleentrepreneuriat.com,http://www.ecoleentrepreneuriat.com
QBC0499,Développement Côte-de-Beaupré,Beaupré,"Accompagnement et soutien technique ou financier auprès des entrepreneurs potentiels ou déjà en activité, individuels ou collectifs (incluant entreprises d'économie sociale). 18-65 ans",418-827-5256,info@developpementcdb.com,http://www.enaffairesaveclacote.com
QBC1354,Filaction,Saint-Roch (Quartier),"Aide au développement des entreprises québécoises, fonds d'investissement pour les PME et coopératives québécoises de développement durable, inclusion financière souple",418-522-3334,info@filaction.qc.ca,http://www.filaction.qc.ca
QBC1719,Fondation de l'entrepreneurship - Réseau Mentorat,Montcalm (Quartier),"Développement du plein potentiel des entrepreneurs par le mentorat, relations d'accompagnement durables. Pour entrepreneurs souhaitant être jumelés avec un entrepreneur d'expérience. 18+",418-646-1994,info@reseaumentorat.com,https://www.reseaumentorat.com/
QBC1443,Fonds d'emprunt Québec,Saint-Roch (Quartier),"Aide aux personnes exclues des réseaux traditionnels de financement, accès au crédit et accompagnement soutenu pour le démarrage d'entreprise, séance d'information, accompagnement à la rédaction du plan d'affaires. 18+",418-525-0139,info@fonds-emprunt.qc.ca,http://www.fonds-emprunt.qc.ca
QBC2042,JA Québec Capitale-Nationale / Chaudière-Appalaches,Saint-Roch (Quartier),"Éducation des jeunes aux valeurs de l'entreprise, aux affaires et à l'économie, développement des aptitudes d'entrepreneur et de leader. 8-18 ans",418-686-4007,info@jaquebec.org,https://jaquebec.org
QBC1156,Microcrédit Charlevoix,Baie-Saint-Paul,"Financement à faible taux d'intérêts et accompagnement de proximité pour projets de micro-entreprise des personnes à faible revenu, formation adaptée. 18+",418-435-2639 poste 6910,info@microcreditcharlevoix.org,http://www.microcreditcharlevoix.org
QBC3104,"Microcrédit Charlevoix, Point de service Clermont",Clermont (région 03),"Financement à faible taux d'intérêts et accompagnement de proximité pour projets de micro-entreprise des personnes à faible revenu, formation adaptée. 18+",418-439-3947 poste 3,info@microcreditcharlevoix.org,http://www.microcreditcharlevoix.org
QBC0449,"MRC de Charlevoix, Service de développement local et entrepreneurial",Baie-Saint-Paul,"Développement de l'activité économique par soutien technique et financier, accompagnement auprès des promoteurs locaux des secteurs industriel, touristique, agroalimentaire, commercial. 18+",418-435-2639,sdle@mrccharlevoix.ca,http://www.mrccharlevoix.ca
QBC0356,Offices jeunesse internationaux du Québec (Les),Montcalm (Quartier),Accompagnement et soutien aux jeunes adultes québécois engagés dans une démarche de développement personnel et professionnel à l'international. 18-35 ans,418-644-2750,info@lojiq.org,http://www.lojiq.org
QBC0061,Option-travail,Cité-Universitaire (Quartier),"Centre-conseil en emploi et en développement de carrière, services personnalisés pour toute personne souhaitant trouver un emploi, en changer ou faire un choix de carrière. 16+",418-651-6415,info@optiontravail.com,https://optiontravail.com/
QBC1512,"Québec International, Le Camp - incubateur-accélérateur technologique",Saint-Roch (Quartier),Incubateur-accélérateur dédié à la croissance des entreprises technologiques et à l'accompagnement des entrepreneurs. Pour entreprises technologiques à tous stades. 18+,418-681-0230,info@lecampquebec.com,http://lecampquebec.com
QBC3617,"Québec, Ministère de l'Économie, de l'Innovation et de l'Énergie",Vieux Québec (Quartier),"Soutien à la croissance des entreprises, l'entrepreneuriat, la science, l'innovation, l'exportation et l'investissement, stratégie numérique",,,http://www.quebec.ca/gouvernement/ministere/economie
QBC3366,Ruche (La),Neufchâtel Est-Lebourgneuf (Quartier),"Financement participatif (sociofinancement) de projets contribuant à l'économie, la vitalité et le rayonnement du Québec, plateforme en ligne pour lancer des campagnes de financement",418-286-0373,info@laruchequebec.com,http://laruchequebec.com
