No. dossier,Nom organisme / programme,Situé à,Description,Tél. de bureau,Site internet / Courriel
CQE1563,"Abercorn, Hôtel de ville",Abercorn,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-538-2664,
CQE0193,"FADOQ, Club âge d'or Les Deux monts",Abercorn,"Club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), réunions d'information, représentation, défense des droits et référence aux organismes partenaires, rabais",450-538-3741 / 450-538-2304,
CQE1642,Association Avante,Bedford,"Centre de femmes visant à briser l'isolement, développement du plein potentiel et prise en main des femmes, défense des droits féminins concernant l'autonomie et l'égalité, développement des compétences",450-248-0530,
CQE1565,"Bedford, Hôtel de ville",Bedford,"Assume des responsabilités en aménagement et urbanisme, habitation, voirie, développement communautaire et culturel, loisirs, transports en commun en milieu urbain, assainissement des eaux usées",450-248-2440,
CQE0063,Centre de la petite enfance Le Château des frimousses,Bedford,"Services de garde bilingue pour enfants (0-5 ans), programme éducatif Highscope, services de garde (83 places)",450-248-4555,
CQE0065,Centre de la petite enfance Les Pommettes rouges,Bedford,"Bureau coordonnateur des services de garde éducatif en milieu familial, soutien aux responsables de service de garde éducatif (RSGE) dans l'amélioration de la qualité des services",450-248-3334,
CQE0075,"Centre de la petite enfance Les Pommettes rouges, Prématernelle",Bedford,"Bureau coordonnateur de la garde en milieu familial Brome-Missisquoi, préparation des enfants à l'entrée scolaire, intégration des enfants ayant des besoins particuliers, service de garde en prémat",450-248-3334 poste 222,
CQE1478,Centre intégré universitaire de santé et de services sociaux de l'Estrie - CLSC et centre d'hébergement de Bedford,Bedford,"Offre, en première ligne, à la population du territoire qu'il dessert, des services de santé et des services sociaux courants, soins et services généraux de santé",450-248-4304 / 450-248-4321 / Guichet d'accès médecin de famille 450-266-4342 poste 35695,
CQE1605,Diabète Brome-Missisquoi,Bedford,"Information, sensibilisation et prévention sur les divers aspects du diabète, accueil, soutien et référence, formation et prévention, consultation individuelle, ateliers de cuisine et de nutrition",450-248-2224,
CQE0536,"FADOQ, Club de l'âge d'or de Bedford",Bedford,"Établissement et exploitation du centre communautaire Georges-Perron, club social pour aînés affilié à la Fédération des clubs de l'âge d'or du Québec (FADOQ), organisation de cours, conférences",450-248-2909,
CQE1614,Fondation Claude De Serres,Bedford,"Soutien au maintien et au rétablissement à domicile, prêt d'équipements médicaux gratuit et sans limites de temps, équipements de déplacement : béquille, botte de marche, canne, déambulateur, fauteuil",450-203-9350 / 450-248-4304 poste 64026,
CQE0345,Le RePaire - Espace collectif pour l'apprentissage en famille,Bedford,"Espace collectif pour l'apprentissage en famille, ateliers et activité ludiques (Salon du livre, peinture, jeux de société, bricolage, cuisine, couture, expérience scintifique), sorties récréatives",438-992-9797,
CQE0185,Loisirs Saint-Damien de Bedford (Les),Bedford,"Organisation et promotion d'activités sportives et de loisir au sein de la municipalité, gestion du centre des loisirs, camp de la relâche, location de raquettes (enfants et adultes)",450-248-7150,
CQE1604,Maison de la famille des Frontières,Bedford,"Soutien au bien-être et au développement des familles ayant des enfants (0-17 ans), éducation populaire et accompagnement pour l'amélioration des conditions de vie, soutien, écoute et référence",450-248-0595,
CQE1627,Maison des Jeunes Le Boum,Bedford,"Lieu de rencontres, d'apprentissages et d'échanges pour les jeunes, travail de milieu : accompagnement, écoute active, sensibilisation et information, ateliers de prévention sur la toxicomanie",450-248-0522,
CQE0254,Organisme de bassin versant de la baie Missisquoi,Bedford,"Concertation des acteurs de l'eau, protection, amélioration et mise en valeur de la ressource eau dans sa zone d'intervention, ainsi que des ressources et habitats qui y sont associés, restauration d",450-955-1821,
CQE1571,Popote roulante de Bedford,Bedford,"Service de livraison de repas à domicile, repas à emporter vendus sur place",450-248-7053,
CQE1678,"Québec, Société de l'assurance automobile du Québec, Centre de services de Bedford",Bedford,"Centre de services offrant l'ensemble des services de la Société. Permis de conduire, délivrance de permis de conduire, état dossier de conduite, examen pratique véhicule de promenade, examen prati",450-248-4169,
CQE0182,Regroupement des gens d'affaires de Bedford et région,Bedford,"Regroupement de gens d'affaires, contribution au développement économique régional en favorisant la prospérité de ses commerces, entreprises et organismes, création d'échanges profitables entre elles",514-893-3351,
CQE0179,Regroupement des organismes communautaires des Rivières,Bedford,"Regroupement et défense des organismes de la communauté autonomes de la MRC Brome-Missisquoi, promotion et défense de l'action communautaire autonome, éducation populaire, soutien de ses membres",450-248-2229,
