No. dossier,Nom organisme / programme,Situé à,Description,Tél. de bureau,Site internet / Courriel
CQE0281,Association québécoise des SPA et SPCA,,"Regroupement d'organisations indépendantes d'expertise de la protection, du contrôle et du bien-être animal",,
SLC0670,Club de l'âge d'or de Sept-Îles,,"Club social pour aînés favorisant et organisant des activités culturelles, sportives et récréatives : danse, baseball-poches, dards, pétanque-atout, bridge, palet américain, quilles, cartes, pétanque",418-968-3445,
CQE0295,Coopération de développement communautaire de Brome-Missisquoi,,"Regroupement d'organismes communautaires favorisant leur participation au développement socioéconomique du territoire, promotion et défense des intérêts de la population et des organismes communautaires",450-293-3344,
QBC4408,"211 Canada, Informations générales",Canada,Opérateur agence 211,,
QBC4879,Anxiété Canada,Canada,"Soutien les canadiens en les éduquant et en les orientant vers des praticiens et des programmes sur la gestion de l'anxiété et des troubles anxieux, maintien des cours et des programmes en ligne",,
CQE1544,"Canada, Députés fédéraux des régions Centre-du-Québec et Estrie, Informations générales",Canada,"Liste des Députés fédéraux : Centre-du-Québec Bécancour-Nicolet-Saurel Louis Plamondon (BQ) Bureau principal - Sorel-Tracy : 307, route Marie-Victorin, Sorel-Tracy, 450-742-0479",613-992-4793,
QBC4856,"Canada, Services aux Autochtones Canada, Principe de Jordan",Canada,"Accès aux produits, services et soutiens pour tous les enfants des Premières Nations au Canada, financement pour les besoins en santé, services sociaux et éducation",,
QBC4851,"Canada, Services aux Autochtones Canada, Programme d'aide au revenu dans les réserves",Canada,"Programme d'aide de dernier recours pour les personnes admissibles et leur famille pour les besoins de base : nourriture, vêtements, loyer, allocation pour les services publics",,
QBC4854,"Canada, Services aux Autochtones Canada, Programme de logement dans les réserves des Premières Nations",Canada,"Programme d'aide au logement dans les communautés et réserves des Premières Nations, financement partiel de logements",,
QBC4855,"Canada, Services aux Autochtones Canada, Programme de soutien des pensionnats indiens",Canada,"Soutien culturel et émotionnel, ainsi que des services de consultation en santé mentale aux survivants des pensionnats et aux familles des anciens élèves, counseling en santé mentale",https://www.sac-isc.gc.ca/fra/1584735005944/1585147200057,
QBC4853,"Canada, Services aux Autochtones Canada, Programme de soutien en santé aux anciens élèves des externats indiens fédéraux",Canada,"Services de soutien en santé pour les personnes ayant vécues un traumatisme par leur fréquentation d'un externat indien fédéral historique, counselling en santé mentale, soutien émotionnel",Québec : 1-877-583-2965 / Atlantique : 1-866-414-8111,
QBC4852,"Canada, Services aux Autochtones Canada, Programme de soutien en santé et en culture pour les femmes et les filles autochtones disparues et assassinées",Canada,"Services de soutien en santé pour les survivants, les membres de la famille et les personnes touchées par la question des femmes et des filles autochtones disparues et assassinées",,
QBC4849,"Canada, Services aux Autochtones Canada, Programme des Services de santé non assurés",Canada,"Programme offrant une couverture pour une gamme de prestations de santé : soins de la vue et dentaires, counseling en santé mentale, équipements et fournitures médicales, médicaments sur ordonnance",,
QBC4857,"Canada, Services aux Autochtones Canada, Programme national de lutte contre l'abus de l'alcool et des drogues chez les Autochtones",Canada,"Soutien un réseau national de 52 centres de traitement pour patients hospitalisés totalisant environ 700 lits, renseignements généraux sur ces centres",,
QBC4850,"Canada, Services aux Autochtones Canada, Services de soutien post-majorité pour les jeunes et les jeunes adultes des Premières Nations",Canada,Soutien aux jeunes autochtones quittant le système de protection de l'enfance et les jeunes adultes anciennement pris en charge dans toutes les provinces et au Yukon,,
QBC4846,Hébergementfemmes.ca,Canada,Ressource en ligne pour les femmes et leurs enfants cherchant à se mettre à l'abri de la violence et des abus. Carte interactive - Joindre une maison d'hébergement https://hebergementfemmes.ca/obtenir-,,
QBC0059,"211 information d'urgence, Crise en Ukraine, Informations générales",International,Québec - Aide matérielle et dons. Le gouvernement du Canada versera un montant équivalent au total des dons admissibles (ne dépassant pas 100 000 $) faits par les Canadiens au Fonds de...,2-1-1,
QBC2141,Admission FP,Québec (Province),"Réception et gestion des demandes d'admission en formation professionnelle, demande d'admission à un programme, inscription à élève d'un jour, Recherche par programme, centre de services scolaire",514-864-2200,
QBC1945,Al-Anon / Alateen - Est du Québec - Groupes familiaux,Québec (Province),"Aide afin d'apprendre à vivre avec une personne alcoolique, qu'elle soit sobre ou non. Réunions offrant de l'aide et du soutien afin de faire face aux conséquences",,
CQE1428,Al-Anon / Alateen - Ouest du Québec - Groupes familiaux,Québec (Province),"Aide afin d'apprendre à vivre avec une personne alcoolique, qu'elle soit sobre ou non. Réunions offrant de l'aide et du soutien afin de faire face aux conséquences",819-820-5085,
QBC1948,Alcochoix +,Québec (Province),"Programme de prévention pour adultes préoccupés par leur consommation d'alcool et désirant modifier leurs habitudes. Trois formules : autonome - progression à l'aide du guide Alcochoix+, durée six-huit semaines",,
QBC0854,Association des conseillères et des conseillers pédagogiques du Québec,Québec (Province),Développement et reconnaissance de la profession de conseillère et conseiller pédagogique,,
QBC3370,Association pour le recyclage des produits électroniques du Québec,Québec (Province),Portail Internet de localisation des points de dépôt pour le recyclage des appareils électroniques,,
QBC3305,Association X Fragile Québec,Québec (Province),"Offre aux parents l'occasion de partager des expériences, des trucs, des stratégies permettant de simplifier la routine et d'améliorer la qualité de vie des familles touchées par le syndrome du X fragile",,
QBC4836,"Canada, Santé Canada, Ligne d'aide en cas de crise de suicide",Québec (Province),"Prévention du suicide et soutien par téléphone et par messagerie texte au niveau national, services de prévention du suicide culturellement adapté, accès à des ressources en ligne, des lignes d'aide",,
QBC4845,We Matter,Québec (Province),"Soutien aux jeunes autochtones avec des messages positifs d'espoir, de culture, de force, de guérison, de santé mentale et de valorisation de la vie, création et distribution de matériels et de ressources",,
