id,nom,ville,province,categorie,telephone_actuel,telephone_corrige,site_actuel,site_corrige,http_status,description_actuelle,description_corrigee,adresse_actuelle,adresse_corrigee,problemes,action (garder|corriger|supprimer),notes
ab-housing-ab,Alberta Seniors and Community Housing,Province de l'Alberta,AB,logement,1-866-716-2333,,https://ascha.com/,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
ab-cfs-ab,Children's Services Alberta,Province de l'Alberta,AB,famille,1-800-387-5437,,https://www.alberta.ca/children-and-family-services,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
ab-child-family-ab,Family Resource Network AB,Province de l'Alberta,AB,famille,1-800-668-2700,,https://www.alberta.ca/family-resource-networks,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
nb-emploi-nb,Emploi NB – Services aux travailleurs,Province du Nouveau-Brunswick,NB,emploi,1-888-762-8600,,https://www.emploisnb.ca/,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
nb-housing-nb,Services de logement NB,Province du Nouveau-Brunswick,NB,logement,1-800-561-4033,,https://soutienssociauxnb.ca/fr/landing/aide-au-logement,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
nb-cfs,Services famille NB,Province du Nouveau-Brunswick,NB,famille,1-888-832-2226,,https://www2.gnb.ca/content/gnb/fr/ministeres/developpement_social/particuliers_familles.html,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
ns-cmha,CMHA Nouvelle-Écosse,Province de la Nouvelle-Écosse,NS,santemental,902-466-6600,,https://novascotia.cmha.ca/,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
ns-cfs,Children and Family Services NS,Province de la Nouvelle-Écosse,NS,famille,1-855-225-2148,,https://novascotia.ca/coms/families/index.html,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
ns-jobsns,Jobs Nova Scotia,Province de la Nouvelle-Écosse,NS,emploi,902-424-5200,,https://jobs.novascotia.ca/,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
ns-housing-ns,Nova Scotia Housing,Province de la Nouvelle-Écosse,NS,logement,902-424-5300,,https://nspha.ca/,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
on-crisis-ontario,Lignes de crise provinciales – Ontario,Province de l'Ontario,ON,santemental,1-866-531-2600,,https://youthhubs.ca/fr/ressources-pour-les-jeunes-en-situation-de-crise,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
on-shelter-housing,Réseau ontarien de refuges (shelter),Province de l'Ontario,ON,logement,1-800-265-0798,,https://www.durham.ca/en/living-here/emergency-shelters.aspx,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
on-health-line,Télésanté Ontario,Province de l'Ontario,ON,sante,1-866-797-0000,,https://data.ontario.ca/fr/dataset/ontario-health-premium-rates,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
imm-arrima,Arrima – Portail du MIFI pour candidats à l'immigration,Province,QC,immigration,1-877-864-9191,,https://www.quebec.ca/en/immigration/online-immigration-services,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
qc-aj-montreal,Bureau aide juridique Montréal – Centre-ville,Montréal,QC,soutienSocial,514-873-3562,,https://www.barreau.qc.ca/fr/trouver-un-avocat/,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
emp-cle-trois-rivieres,Centre local d'emploi (CLE) Trois-Rivières,Trois-Rivières,QC,emploi,819-371-6880,,https://www.quebec.ca/emploi/trouver-emploi-stage/consulter-offres-emplois#c219664,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
sk-health-line,HealthLine Saskatchewan,Province de la Saskatchewan,SK,sante,811,,https://www.saskatchewan.ca/bonjour/health-and-healthy-living,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
sk-lmi,Labour Market Information Saskatchewan,Province de la Saskatchewan,SK,emploi,1-800-667-7590,,https://cecs-sk.ca/fr/guichet-emploi,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
sk-housing-sk,Saskatchewan Housing Corporation,Province de la Saskatchewan,SK,logement,306-787-4177,,https://www.saskatchewan.ca/residents/housing-and-renting,,OK_200,,,,,SANS_DESCRIPTION|SITE_HTTP_404,,Page introuvable — chercher nouvelle URL
ab-calgary-food,Calgary Food Bank,Calgary,AB,alimentation,403-253-2055,,https://www.calgaryfoodbank.com,,OK_200,,,,,SANS_DESCRIPTION|SITE_ERR:SSL,,Certificat SSL invalide — vérifier manuellement
pe-cmha,CMHA Prince Edward Island,Province de l'Île-du-Prince-Édouard,PE,santemental,902-566-3034,,https://pei.cmha.ca/,,ok_200,,,,,SANS_DESCRIPTION|SITE_ERR:SSL,,Certificat SSL invalide — vérifier manuellement
