id,nom,ville,province,categorie,telephone_actuel,telephone_corrige,site_actuel,site_corrige,http_status,description_actuelle,description_corrigee,adresse_actuelle,adresse_corrigee,problemes,action (garder|corriger|supprimer),notes
nu-employment-nu,Services à l'emploi – Nunavut,Iqaluit,NU,emploi,867-975-5400,,https://www.gov.nu.ca/en/careers/jobs,,BLOQUE_BOT_403,,,,,SANS_DESCRIPTION|SITE_PROBABLEMENT_OK_MAIS_BLOQUE_BOT,,
nb-family-nb,Dialogue NB – Services familiaux,Province du Nouveau-Brunswick,NB,famille,506-857-4040,,https://www.dialoguenb.org,,OK_200,,,,,SANS_DESCRIPTION,,
mb-211,211 Manitoba,Province du Manitoba,MB,soutienSocial,211,,https://mb.211.ca,,OK_200,,,,,SANS_DESCRIPTION,,
nt-211,211 Territoires du Nord-Ouest,Territoires du Nord-Ouest,NT,soutienSocial,211,,https://www.nt.211.ca,https://nt.211.ca/,OK_200,,,,,SANS_DESCRIPTION,,
mb-crisis-response,Mobile Crisis Response,Winnipeg,MB,santemental,204-940-1781,,https://wrha.mb.ca/crisis,https://wrha.mb.ca/mental-health/crisis-services/,OK_200,,,,,SANS_DESCRIPTION,,
on-integration-toronto,Centre for Immigrant and Community Services Toronto,Toronto,ON,emploi,416-644-3765,,https://www.ontario.ca/locations/employment-training/93880164-toronto-2330-midland-ave,,BLOQUE_BOT_403,,,,,SANS_DESCRIPTION|SITE_PROBABLEMENT_OK_MAIS_BLOQUE_BOT,,
sk-211,211 Saskatchewan,Province de la Saskatchewan,SK,soutienSocial,211,,https://sk.211.ca,,OK_200,,,,,SANS_DESCRIPTION,,
on-ottawa-housing,Ottawa Community Housing,Ottawa,ON,logement,613-731-1182,,https://www.ottawahousing.ca,https://emergencyhousing.ca,OK_200,,,,,SANS_DESCRIPTION,,
yt-immigration-yt,Immigration Yukon – Programme des candidats,Whitehorse,YT,immigration,867-667-8000,,https://yukon.ca/en/immigration/apply-immigrate-yukon/immigrate-yukon,,BLOQUE_BOT_403,,,,,SANS_DESCRIPTION|SITE_PROBABLEMENT_OK_MAIS_BLOQUE_BOT,,
yt-employment-yt,Services aux travailleurs – Yukon,Whitehorse,YT,emploi,867-667-5811,,https://yukon.ca/en/employment,,BLOQUE_BOT_403,,,,,SANS_DESCRIPTION|SITE_PROBABLEMENT_OK_MAIS_BLOQUE_BOT,,
nb-211,211 Nouveau-Brunswick,Province du Nouveau-Brunswick,NB,soutienSocial,211,,https://www.nb.211.ca,https://nb.211.ca/,OK_200,,,,,SANS_DESCRIPTION,,
pe-211,211 Île-du-Prince-Édouard,Province de l'Île-du-Prince-Édouard,PE,soutienSocial,211,,https://www.pe.211.ca,https://pe.211.ca,OK_200,,,,,SANS_DESCRIPTION,,
nl-211,211 Terre-Neuve-et-Labrador,Province de Terre-Neuve-et-Labrador,NL,soutienSocial,211,,https://www.nl.211.ca,https://nl.211.ca,OK_200,,,,,SANS_DESCRIPTION,,
yt-211,211 Yukon,Territoire du Yukon,YT,soutienSocial,211,,https://www.yt.211.ca,https://yt.211.ca,OK_200,,,,,SANS_DESCRIPTION,,
on-harvest-table,Harvest Table Food Bank Hamilton,Hamilton,ON,alimentation,905-528-6445,,https://harvesttable.ca,,OK_200,,,,,SANS_DESCRIPTION,,
qc-cavac-montreal,CAVAC Montréal,Montréal,QC,famille,514-276-9944,,https://cavac.qc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ab-211,211 Alberta,Province de l'Alberta,AB,soutienSocial,211,,https://www.ab.211.ca,https://ab.211.ca/,OK_200,,,,,SANS_DESCRIPTION,,
mb-wrha,Winnipeg Regional Health Authority,Winnipeg,MB,sante,204-926-7000,,https://wrha.mb.ca,,OK_200,,,,,SANS_DESCRIPTION,,
qc-cavac-laval,CAVAC Laval,Laval,QC,famille,450-975-0500,,https://cavac.qc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
qc-cavac-quebec,CAVAC Québec,Québec,QC,famille,418-648-9945,,https://cavac.qc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
qc-cavac-longueuil,CAVAC Montérégie,Longueuil,QC,famille,450-443-6625,,https://cavac.qc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
ns-211,211 Nouvelle-Écosse,Province de la Nouvelle-Écosse,NS,soutienSocial,211,,https://www.ns.211.ca,https://ns.211.ca/,OK_200,,,,,SANS_DESCRIPTION,,
qc-cavac-gatineau,CAVAC Outaouais,Gatineau,QC,famille,819-778-3555,,https://cavac.qc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
qc-cavac-saguenay,CAVAC Saguenay–Lac-Saint-Jean,Saguenay,QC,famille,418-547-6161,,https://cavac.qc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
qc-cavac-sherbrooke,CAVAC Estrie,Sherbrooke,QC,famille,819-564-3434,,https://cavac.qc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
yt-811,811 – Info-Santé,Territoire du Yukon,YT,sante,811,,https://yukon.ca/fr/situations-durgence-et-securite,,BLOQUE_BOT_403,,,,,SANS_DESCRIPTION|SITE_PROBABLEMENT_OK_MAIS_BLOQUE_BOT,,
yt-yhss,Yukon Health and Social Services,Whitehorse,YT,sante,867-456-6136,,https://yukon.ca/fr/situations-durgence-et-securite,,BLOQUE_BOT_403,,,,,SANS_DESCRIPTION|SITE_PROBABLEMENT_OK_MAIS_BLOQUE_BOT,,
nu-811-nu,811 – Info-Santé Nunavut,Territoire du Nunavut,NU,sante,811,,https://www.gov.nu.ca/health,,BLOQUE_BOT_403,,,,,SANS_DESCRIPTION|SITE_PROBABLEMENT_OK_MAIS_BLOQUE_BOT,,
nu-health-nu,Gouvernement du Nunavut – Santé,Iqaluit,NU,sante,867-975-5700,,https://www.gov.nu.ca/health,,BLOQUE_BOT_403,,,,,SANS_DESCRIPTION|SITE_PROBABLEMENT_OK_MAIS_BLOQUE_BOT,,
qc-immo-montreal-achat,Programme Accès Logis Montréal,Montréal,QC,achatImmobilier,514-872-4630,,https://montreal.ca/logement,https://montreal.ca,OK_200,,,,,SANS_DESCRIPTION,,
qc-immo-oaciq,OACIQ – Organisme courtage immobilier QC,Province de Québec,QC,achatImmobilier,1-800-440-7170,,https://www.oaciq.com,https://www.oaciq.com/fr/,OK_200,,,,,SANS_DESCRIPTION,,
emp-cje-quebec,Carrefour jeunesse-emploi de la Capitale-Nationale,Québec,QC,emploi,418-525-5526,,https://cjecn.com,https://www.hugedomains.com/domain_profile.cfm?d=cjecn.com,OK_200,,,,,SANS_DESCRIPTION,,
s-cavac-qc,CAVAC – Centres d'aide aux victimes d'actes criminels,Province,QC,soutienSocial,1-866-532-2822,,https://cavac.qc.ca,,OK_200,,,,,SANS_DESCRIPTION,,
