No. dossier,Nom organisme / programme,Situé à,Description,Téléphone,Courriel,Site web
QBC0670,Alliance des groupes d'intervention pour le rétablissement en santé mentale,Saint-Roch (Quartier),"Regroupement d'organismes communautaires en santé mentale de la Capitale-Nationale, information, promotion, soutien et formation aux organismes membres. Pour adultes ayant des troubles de santé mentale et leurs proches. 14+",418-640-5253,info@agirensantementale.ca,http://www.agirensantementale.ca
QBC4879,Anxiété Canada,Canada,"Soutien en éduquant et orientant vers des praticiens et programmes sur la gestion de l'anxiété et des troubles anxieux, cours et programmes en ligne",,contactus@anxietycanada.ca,http://www.anxietycanada.com/fr/
QBC4059,Arc-en-ciel (L') - Accompagnement au logement,Donnacona,"Accompagnement au logement pour personnes en situation d'itinérance ou d'instabilité résidentielle, prévention des situations d'itinérance, aide à la recherche de logement. Pour personnes ayant des enjeux de santé mentale. 18+",418-285-3847 poste 221,info@larcencielportneuf.org,http://www.larcencielportneuf.org
QBC4465,Arc-en-ciel (L') - Accompagnement par un pair aidant,Donnacona,Soutien et accompagnement aux personnes ayant un trouble de santé mentale par un pair aidant. Pour personnes ayant des problèmes de santé mentale et leurs proches (adultes et mineurs). 12+,418-285-3847 poste 0,info@larcencielportneuf.org,http://www.larcencielportneuf.org
QBC1965,Arc-en-ciel (L') - Centre de prévention du suicide,MRC de Portneuf,"Prévention suicide, services à l'ensemble de la population de Portneuf, trois points de service : Donnacona, Saint-Raymond et Saint-Marc-des-Carrières. Ligne d'intervention 24h/7j. Pour personnes suicidaires et proches endeuillés",Réception 418-285-3847 / Ligne crise 418-285-3283 (24h),info@larcencielportneuf.org,http://www.larcencielportneuf.org
QBC0925,Arc-en-ciel (L') - Organisme communautaire en santé mentale,Donnacona,"Services en santé mentale à l'ensemble de la population, paniers de Noël. Pour personnes ayant des problèmes de santé mentale diagnostiqués ou non et leurs proches",418-285-3847,info@larcencielportneuf.org,http://www.larcencielportneuf.org
QBC3159,Arc-en-ciel (L') - Point de service Saint-Marc-des-Carrières,Saint-Marc-des-Carrières,"Services en santé mentale à l'ensemble de la population : accompagnement au logement, pair aidant, prévention du suicide. Variable selon les services. 18+",418-285-3847 poste 221,info@larcencielportneuf.org,http://www.larcencielportneuf.org
QBC3274,Arc-en-ciel (L') - Point de service Saint-Raymond,Saint-Raymond,"Services en santé mentale à l'ensemble de la population : accompagnement au logement, pair aidant, prévention du suicide. Variable selon les services",418-285-3847 poste 221,info@larcencielportneuf.org,http://www.larcencielportneuf.org
QBC1440,Arc-en-ciel (L') - Regroupement de proches,Donnacona,"Soutien et information aux parents et proches des personnes ayant un trouble de santé mentale, ateliers. Pour parents et proches (adultes et mineurs) d'une personne ayant des troubles de santé mentale",418-285-3847,info@larcencielportneuf.org,http://www.larcencielportneuf.org
QBC1968,Arc-en-ciel (L') - Réinsertion socioprofessionnelle,Donnacona,Aide à la réintégration au travail aux personnes désirant s'engager dans une démarche de mise en action par le travail tout en favorisant leur santé mentale. 18+,418-285-3847 poste 221,info@larcencielportneuf.org,http://www.larcencielportneuf.org
QBC0782,Archipel d'entraide,Saint-Roch (Quartier),"Soutien aux citoyens favorisant les pratiques d'entraide, services adaptés et suivis communautaires à une clientèle marginalisée souffrante de problématiques multiples (santé mentale, itinérance). Pour personnes en difficulté et à faible revenu. 18+",Administration 418-649-9145 / Accroche-Toit 418-649-9145 poste 107,administration@larchipel-dentraide.org,http://www.larchipel-dentraide.org
QBC0595,Association canadienne pour la santé mentale - Ligne d'écoute SAISM,Saint-Charles-Borromée (Quartier),"Service confidentiel d'écoute téléphonique, d'information et référence, ligne d'écoute généraliste. Pour personnes vivant solitude, période difficile ou détresse psychologique. 18+",418-529-1899,,http://acsmquebec.org/services/centre-ecoute-telephonique-saism
QBC0791,Association canadienne pour la santé mentale Région de Québec,Saint-Charles-Borromée (Quartier),"Promotion et prévention en santé mentale, ateliers psychoéducatifs (solitude, estime de soi, gestion du stress), textoMotive. Pour adultes. 18+",Administration 418-529-1979 / Écoute téléphonique 418-529-1899,info@acsmquebec.org,http://www.acsmquebec.org
QBC1980,Association québécoise pour la réadaptation psychosociale,Maizerets (Quartier),"Mobilisation et rassemblement des personnes et organisations concernées par la réadaptation et le rétablissement en santé mentale, diffusion et amélioration des pratiques",418-523-4190,admin@aqrp-sm.org,https://www.aqrp-sm.org/
