id_suggere,name,category,subcategory,city,address,postal_code,phone,website,description,is_urgent,source_url,statut_bdd,a_verifier
new-clsc-laval-marigot,CLSC du Marigot,health,CLSC,Laval,"1351, boul. des Laurentides",H7G 2W1,450 668-1444,https://www.lavalensante.com,"CLSC – services de première ligne (santé courante, prélèvements, vaccination, soutien à domicile).",false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-clsc-laval-chomedey,CLSC et Centre de services ambulatoires Chomedey,health,CLSC,Laval,"800, boul. Chomedey, Tour B, bureau 200",H7V 3Y4,450 682-2952,https://www.lavalensante.com,"CLSC – services courants, soutien à domicile, santé mentale.",false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-clsc-laval-ruisseau,CLSC et Centre de services ambulatoires Ruisseau-Papineau,health,CLSC,Laval,"1665, rue du Couvent",H7W 3A8,450 687-5690,https://www.lavalensante.com,CLSC – centrale de rendez-vous L–V 8h–17h.,false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-clsc-laval-ouest-ile,CLSC de l'Ouest-de-l'Île,health,CLSC,Laval,"4250, boul. Dagenais Ouest",H7R 1M2,450 627-2530,https://www.lavalensante.com,CLSC – services courants secteur Ouest de Laval.,false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-clsc-laval-idola,CLSC et CHSLD Idola-Saint-Jean,health,CLSC,Laval,"250, boul. Cartier Ouest",H7N 2J1,450 668-1803,https://www.lavalensante.com,CLSC + CHSLD – services aux aînés et soutien à domicile.,false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-clsc-laval-rose,CLSC et CHSLD Sainte-Rose,health,CLSC,Laval,"280, boul. Roi-du-Nord",H7L 4L2,450 622-5110,https://www.lavalensante.com,CLSC + CHSLD – services courants secteur Sainte-Rose.,false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-hop-cite-sante,Hôpital de la Cité-de-la-Santé,health,Hôpital,Laval,"1755, boul. René-Laennec",H7M 3L9,450 668-1010,https://www.lavalensante.com,"Hôpital régional – urgences 24/7, plateau technique complet.",true,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-hop-juif-readap,Hôpital juif de réadaptation,health,Hôpital de réadaptation,Laval,"3205, place Alton-Goldbloom",H7V 1R2,450 688-9550,https://www.lavalensante.com,Réadaptation physique et neurologique adulte/jeunesse.,false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-csa-laval,Centre de services ambulatoires de Laval,health,Centre de services ambulatoires,Laval,"1515, boul. Chomedey",H7V 3Y7,450 978-8300,https://www.lavalensante.com,"Soins ambulatoires, prélèvements, cliniques externes.",false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-csa-rene-laennec,Centre de services ambulatoires en santé mentale René-Laennec,mentalHealth,Centre santé mentale,Laval,"2008, boul. René-Laennec",H7M 4J8,450 662-3665,https://www.lavalensante.com,Santé mentale adulte – CISSS de Laval.,false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
new-aire-ouverte-laval,Aire Ouverte Laval,mentalHealth,Santé mentale jeunes 12-25,Laval,"308, boul. Cartier Ouest, porte 4",H7N 2J2,450 978-8333,https://www.lavalensante.com/aireouverte/,"Services psychosociaux jeunes 12-25 ans, sans rendez-vous.",false,https://www.lavalensante.com/coordonnees/trouver-un-point-de-service/,NOUVEAU,
