No. dossier,Nom organisme / programme,Situé à,Description,Téléphone,Courriel,Site web
QBC1455,Agence pour vivre chez soi,Baie-Saint-Paul,"Services de soutien à domicile pour personnes âgées, en perte d'autonomie, vivant avec un handicap ou une maladie, proches aidants. Pour aînés, personnes à mobilité réduite, proches aidants.",Baie-St-Paul 418-435-6874 / La Malbaie 418-665-1067,infoapvcs@agencepourvivrechezsoi.com,http://agencepourvivrechezsoi.com
QBC2255,"Agence pour vivre chez soi, Bureau de La Malbaie",La Malbaie,"Maintien à domicile, entretien ménager résidentiel et commercial, aide aux activités de vie domestique, entretien ménager léger, grand ménage, lessive, préparation de repas. Pour aînés, personnes à mobilité réduite.",418-665-1067,infoAPVCS@agencepourvivrechezsoi.com,http://agencepourvivrechezsoi.com
QBC1457,Aide Chez-Soi Orléans,Saint-Michel (Quartier),"Services d'aide et maintien à domicile : entretien ménager léger, lessive, repassage, balayage, aspirateur, entretien des planchers. Pour aînés, personnes handicapées, accidentées, en convalescence, proches aidants.",418-664-2222,info@aideorleans.ca,http://aideorleans.ca
QBC2809,Albatros Capitale-Nationale,Maizerets (Quartier),"Accompagnement bénévole des personnes en soins palliatifs, en fin de vie, leurs proches et des personnes endeuillées de la région de la Capitale-Nationale, écoute, soutien, répit. 18+",418-204-1533 poste 4,info@albatrosquebec.ca,http://www.albatrosquebec.ca
QBC4946,"CIUSSS Capitale-Nationale, Aire Ouverte - Site de Loretteville",Loretteville (Quartier),"Services confidentiels en personne ou virtuel pour la santé et le bien-être des adolescents et jeunes adultes, suivi psychosocial, consultation individuelle ou familiale. 12-25 ans.",418-666-2613,aire-ouverte.ciussscn@ssss.gouv.qc.ca,http://www.ciusss-capitalenationale.gouv.qc.ca/aireouverte
QBC4947,"CIUSSS Capitale-Nationale, Aire Ouverte - Site de Portneuf",Donnacona,"Services confidentiels en personne ou virtuel pour la santé et le bien-être des adolescents et jeunes adultes, suivi psychosocial, consultation individuelle ou familiale. 12-25 ans.",418-666-2613,aire-ouverte.ciussscn@ssss.gouv.qc.ca,http://www.ciusss-capitalenationale.gouv.qc.ca/aireouverte
QBC4945,"CIUSSS Capitale-Nationale, Aire Ouverte - Site de Québec",Saint-Sauveur (Quartier),"Services confidentiels en personne ou virtuel pour la santé et le bien-être des adolescents et jeunes adultes, suivi psychosocial, consultation individuelle ou familiale. 12-25 ans.",418-666-2613,aire-ouverte.ciussscn@ssss.gouv.qc.ca,http://www.ciusss-capitalenationale.gouv.qc.ca/aireouverte
QBC1566,"CIUSSS Capitale-Nationale, CLSC de Baie-Saint-Paul",Baie-Saint-Paul,"Services de santé et services sociaux courants, préventifs ou curatifs, de réadaptation ou de réinsertion, aide alimentaire - programme OLO, authentification carte d'assurance maladie.",418-435-5475,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1781
QBC1491,"CIUSSS Capitale-Nationale, CLSC de L'Ancienne-Lorette",L'Ancienne-Lorette,"Services de santé et services sociaux courants, préventifs ou curatifs, de réadaptation ou de réinsertion, aide alimentaire - programme OLO, authentification carte d'assurance maladie.",418-651-2572,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=827
QBC1479,"CIUSSS Capitale-Nationale, CLSC de L'Isle-aux-Coudres",L'Isle-aux-Coudres,"Services de santé et services sociaux courants, préventifs ou curatifs, de réadaptation ou de réinsertion, aide alimentaire - programme OLO.",418-438-2788,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1780
QBC1612,"CIUSSS Capitale-Nationale, CLSC de la Basse-Ville",Saint-Roch (Quartier),"Services de santé et services sociaux courants, préventifs ou curatifs, de réadaptation ou de réinsertion. Enfance-jeunesse-famille, soins infirmiers courants.",Accueil 418-529-2572 / Centrale RDV 418-628-6808,,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=520
QBC1489,"CIUSSS Capitale-Nationale, CLSC de la Haute-Ville",Montcalm (Quartier),"Services de santé et services sociaux courants, guichet d'accès pour clientèle sans médecin de famille, programme SAD - soutien à domicile.",Accueil 418-641-2572 / Centrale RDV 418-628-6808 / SAD 418-651-3888,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=164995
QBC1665,"CIUSSS Capitale-Nationale, CLSC de la Jacques-Cartier - Loretteville",Loretteville (Quartier),Services de santé et services sociaux courants. Inscription à la liste d'attente pour avoir accès à un médecin de famille.,418-843-2572 / Centrale RDV 418-628-6808,,http://www.ciusss-capitalenationale.gouv.qc.ca/services/adresses
QBC0215,"CIUSSS Capitale-Nationale, CLSC de la Jacques-Cartier - Sainte-Catherine",Sainte-Catherine-de-la-Jacques-Cartier,Point de service offrant uniquement des services de prélèvements avec rendez-vous.,,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=270260
QBC1567,"CIUSSS Capitale-Nationale, CLSC de La Malbaie",La Malbaie,"Services de santé et services sociaux courants, préventifs ou curatifs, de réadaptation ou de réinsertion, aide alimentaire - programme OLO, authentification carte d'assurance maladie.",418-665-6413,communications.ciussscn@ssss.gouv.qc.ca,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=1189
QBC1490,"CIUSSS Capitale-Nationale, CLSC de Limoilou",La Cité - Limoilou (Arrondissement),"Services de santé et services sociaux courants, soins généraux, authentification carte d'assurance maladie, programme Traité santé pour maladies chroniques.",Accueil 418-529-2572 / Traité santé 418-656-4594,,http://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=521
