No. dossier,Nom organisme / programme,Situé à,Description,Téléphone,Courriel,Site web
QBC0202,Action bénévole de Saint-Basile,Saint-Basile,"Services favorisant le maintien à domicile des aînés et des personnes malades ou ayant un handicap, soutien moral, visites d'amitié, anniversaires et fêtes spéciales, organisation d'activités. Pour aînés 75+ et personnes malades ou handicapées",418-329-2039,actbenstbasile@outlook.com,
QBC0788,Association bénévole Côte-de-Beaupré,Beaupré,"Maintien à domicile, popote roulante, accompagnement-transport, aide à la déclaration de revenus. Pour aînés, personnes malades, handicapées, en perte d'autonomie, proches aidants",418-827-8780 / Travail de milieu aînés 418-702-0507,info@associationbenevolecb.com,http://www.associationbenevolecb.com
QBC0789,Association bénévole de l'Île d'Orléans,Saint-Pierre-de-l'Île-d'Orléans,"Soutien à domicile, dépannage alimentaire d'urgence, popote roulante, paniers de Noël, accompagnement-transport, répit aux proches aidants. Pour aînés, personnes en perte d'autonomie, familles en difficulté",418-828-1586 / Dépannage alimentaire 418-828-1586 poste 6,info@abiorleans.ca,http://www.abiorleans.ca
QBC1332,Association des proches aidants de la Capitale-Nationale,Cité-Universitaire (Quartier),"Soutien aux proches aidants de personnes de tous âges, répit à domicile, soutien psychosocial individuel ou de groupe, conférences et formations. 20+",Québec 418-688-1511 / Portneuf 418-873-8536,info@apacn.org,http://www.apacn.org
QBC2889,"Association des proches aidants de la Capitale-Nationale, Agence PAIR Québec 03",Cité-Universitaire (Quartier),"Programme de prévention et sécurité à domicile pour personnes vivant seules ou en couple, système téléphonique automatisé quotidien de vérification. Pour aînés, personnes seules ou en convalescence",418-688-1511 poste 221,info@apacn.org,https://www.apacn.org/
QBC0790,Centre d'action bénévole de Charlevoix,La Malbaie,"Développement et promotion de l'action bénévole, soutien à domicile des personnes en perte d'autonomie, popote roulante, accompagnement-transport, visites d'amitié, aide aux déclarations de revenus. Pour aînés 60+",418-665-7567 / ITMAV 418-633-2982 / Proches aidants 418-633-4722,admin@abcharlevoix.com,http://www.abcharlevoix.com
QBC3358,"Centre d'action bénévole de Charlevoix, Popote roulante",Notre-Dame-des-Monts,"Maintien à domicile pour personnes âgées, ayant un handicap, en perte d'autonomie, convalescentes et mères vivant une grossesse difficile. Livraison de repas, aide aux déclarations de revenus",418-665-7567,admin@abcharlevoix.com,http://www.abcharlevoix.com
QBC4953,"Centre d'action bénévole du Contrefort, Soutien à domicile",Saint-Rodrigue (Quartier),"Action bénévole, soutien et accompagnement à des clientèles vulnérables, accompagnement-transport (soins médicaux, aide alimentaire). 50+",418-622-5910,info@cabducontrefort.quebec,https://www.cabducontrefort.quebec/
QBC4266,"Communautés solidaires, Programme Entraid'aînés",Vieux-Bourg (Quartier),"Évaluation des besoins et interventions pour prolonger le maintien des aînés à domicile, accueil, planification de l'aide, référence. Pour aînés 60+ vivant isolement ou problématique de santé mentale",418-666-2200,communautessolidairesadmi@gmail.com,http://www.communautessolidaires.com
QBC0355,Contact Aînés,Vieux Québec (Quartier),"Briser l'isolement social des aînés, accueil et référence, écoute téléphonique, jumelages d'amitié : contact téléphonique ou visite hebdomadaire. Pour personnes aînées en contexte d'isolement social. 55+",418-687-3553,dg@contact-aines.com,http://contact-aines.com
QBC0365,Entraide des aînés de Sillery,Sillery (Quartier),"Aide au maintien à domicile des aînés, accompagnement-transport, visites d'amitié, popote roulante. Pour aînés autonomes ou en perte d'autonomie. 55+",418-641-6665,coordination.entraide@gmail.com,http://entraidesillery.ca
QBC0366,Entraide du Faubourg,Saint-Jean-Baptiste (Quartier),"Soutien à domicile aux aînés, popote roulante, visites d'amitié, accompagnement-transport pour rendez-vous médicaux, activités. 55+",Popote roulante 418-522-2179 / Accompagnement-transport 418-522-5431,info@entraide-faubourg.org,http://www.entraide-faubourg.org
QBC0368,Entraide Les Saules,Duberger-Les Saules (Quartier),"Amélioration de la qualité de vie des aînés et personnes malades à domicile, popote roulante, transport pour raison médicale. Pour aînés autonomes ou non autonomes et personnes malades. 65+",418-872-3353,info@entraidelessaules.org,https://site1754682640.mywhc.ca/index.html
QBC0443,Entraide Sainte-Foy,Pointe-de-Sainte-Foy (Quartier),"Aide à demeurer à domicile, accompagnement-transport bénévole pour services de santé ou sociaux, appels de courtoisie. Pour aînés, adultes, personnes malades ou en perte d'autonomie. 55+",418-650-5544,info@entraidestefoy.org,http://www.entraidestefoy.org
QBC0408,Fondation Gilles Kègle,Saint-Roch (Quartier),"Aide aux personnes à faible revenu et services de maintien à domicile, visites à domicile, soins infirmiers auxiliaires. Pour aînés seuls et personnes à faible revenu et malades",418-524-2626,fondation@gilleskegle.org,http://www.gilleskegle.org
QBC0422,Fraternité Sainte-Marie de Vanier,Vanier (Quartier),"Aide et accompagnement des personnes et familles éprouvant des difficultés, soutien au maintien à domicile, visites et appels d'amitié. Pour personnes en perte d'autonomie, aînés, familles à faible revenu. 50+",418-683-2400,fraternitedevanier@videotron.ca,http://fraternitedevanier.org
QBC0364,Halo - Entraide communautaire (Le),Donnacona,"Maintien à domicile et aide pour briser l'isolement des aînés, personnes seules, malades chroniques ou ayant un handicap physique ou trouble de santé mentale. Soutien civique, aide aux impôts",418-285-2935,info@lehalo.ca,http://lehalo.ca
QBC4305,Liratoutâge,Saint-Roch (Quartier),"Séances de lecture à haute voix aux aînés vivant en milieu d'hébergement, activités personnalisées. Pour personnes ne pouvant plus lire seules, malvoyantes, non voyantes, déficit cognitif, en hébergement",581-620-5472,info@liratoutage.com,http://liratoutage.com
QBC0489,Mains de l'espoir de Charlevoix (Les),La Malbaie,"Soutien au bien-être des personnes atteintes de cancer en phase thérapeutique ou en rémission, entraide, amélioration de la qualité de vie, accompagnement. Pour patients en cancer et leurs proches",418-665-4926,mainsdelespoir@videotron.ca,http://www.mainsdelespoir.org
QBC2791,"Mains de l'espoir de Charlevoix (Les), Point de service Baie-Saint-Paul",Baie-Saint-Paul,"Soutien au bien-être des personnes atteintes de cancer en phase thérapeutique ou en rémission, entraide, amélioration de la qualité de vie. Pour patients, familles et proches",418-240-1130,mainsdelespoir@videotron.ca,http://www.mainsdelespoir.org
QBC0583,Mouvement des services à la communauté du Cap-Rouge,Cap-Rouge (Quartier),"Aide aux personnes touchées par la pauvreté, approche globale de prévention, activités physiques pour aînés 50+. Pour le grand public et aînés",418-641-6643,msccr@bellnet.ca,http://www.msccr.com
QBC0743,Parkinson Capitale-Nationale et Chaudière-Appalaches,Vanier (Quartier),"Accueil, information, soutien et référence aux personnes touchées par la maladie de Parkinson, sensibilisation, service PAÉO : accueil, évaluation des besoins, orientation",418-527-0075,information@pcnca.ca,http://www.pcnca.ca
QBC0626,"Petits Frères (Les), Québec",Vanier (Quartier),"Accueil et accompagnement des personnes seules du grand âge pour contrer leur isolement, jumelage avec bénévoles, famille engagée et fidèle jusqu'à la fin de leur vie. Pour aînés socialement isolés. 75+",418-683-5533,Quebec@petitsfreres.ca,http://www.petitsfreres.ca
QBC0633,Popote et Multi-Services,Des Châtels (Quartier),"Soutien à domicile, livraison de repas chaud (popote roulante secteur Loretteville), repas emballés sous vide, accompagnement-transport pour rendez-vous médicaux. Pour aînés et personnes en perte d'autonomie",418-845-3081,info@popoteetmultiservices.org,http://popoteetmultiservices.org
QBC0638,Présence-Famille Saint-Augustin,Saint-Augustin-de-Desmaures,"Entraide communautaire bénévole, paniers alimentaires, accompagnement-transport, aide à la déclaration de revenus. Pour familles, aînés et le grand public",418-878-3811,presence-famille@videotron.ca,http://www.presencefamille.org
QBC4301,SASMAD à Québec,Vanier (Quartier),"Service d'écoute active confidentiel et gratuit par bénévoles formés, visites d'accompagnement spirituel ou religieux à domicile. Pour personnes vivant avec une maladie et aînés",581-397-1958,sasmad.quebec@gmail.com,https://www.sasmad-quebec.com/
QBC0709,Service d'entraide communautaire Rayon de soleil,L'Ancienne-Lorette,"Services d'entraide adaptés aux besoins des aînés et personnes vulnérables, popote roulante, accompagnement-transport. Pour aînés 55+, personnes à faible revenu, malades ou en convalescence",418-871-7055 / Popote roulante 418-830-0055,info@rayondesoleil.ca,http://www.rayondesoleil.ca
QBC2829,"Wendake, Centre de santé Marie-Paule-Sioui-Vincent",Wendake,"Centre de santé offrant des services et soins préventifs et curatifs en santé communautaire et santé mentale, services de soutien. Pour membres statués de la Nation huronne-wendat",418-842-6255,,http://www.wendake.ca/organisme/centre-de-sante-marie-paule-sioui-vincent
