id,categorie,nom,site_actuel,site_corrige,telephone_actuel,telephone_corrige,ville_actuelle,ville_corrigee,province_actuelle,province_corrigee,adresse_actuelle,adresse_corrigee,description_actuelle,description_corrigee,action (garder|corriger|supprimer),notes
qc-immo-acceslogis,achatImmobilier,AccèsLogis Québec – SHQ,https://www.habitation.gouv.qc.ca,,1-800-463-4315,,Province de Québec,,QC,,"Service en ligne / téléphonique — SHQ, 1054 boul. René-Lévesque Est, Québec QC G1R 4Y8",,,,,
ab-crea-ab,achatImmobilier,Association des courtiers immobiliers AB,https://www.crea.ca,,403-228-6845,,Province de l'Alberta,,AB,,N/A — service téléphonique/en ligne,,,,,
bc-rebgv,achatImmobilier,Association immobilière du Grand Vancouver,https://www.rebgv.org,,604-730-3000,,Vancouver,,BC,,"2433 Spruce St, Vancouver, BC V6H 4C8",,,,,
re-pw3,achatImmobilier,CELIAPP – Compte épargne libre d'impôt 1ère propriété,,,1-800-959-8281,,Province de Québec,,QC,,,,Épargnez jusqu'à 40 000 $ (8 000 $/an) à l'abri de l'impôt pour acheter votre première maison. Cotisations déductibles du revenu. Disponible dans toutes les banques et caisses.,,,
qc-immo-fciq,achatImmobilier,FCIQ – Fédération chambres immobilières QC,https://www.fciq.ca,,514-762-2440,,Province de Québec,,QC,,"600, chemin du Golf, Île-des-Soeurs, QC H3E 1A8",,,,,
ab-habitat-ab,achatImmobilier,Habitat for Humanity Alberta,https://www.habitatsouthernab.ca/,,403-263-4184,,Calgary,,AB,,"119, 58 Ave SE, Calgary, AB T2H 2C6",,,,,
bc-habitat-bc,achatImmobilier,Habitat for Humanity BC,https://habitat.ca/en/restore/find-a-restore,,604-629-3328,,Vancouver,,BC,,"2300, Henry St, Port Moody, BC V3H 1K7",,,,,
mb-habitat,achatImmobilier,Habitat for Humanity Winnipeg,https://www.habitat.mb.ca/,,204-989-4700,,Winnipeg,,MB,,"220, Elgin Ave, Winnipeg, MB R3A 1N6",,,,,
ns-nsar,achatImmobilier,Nova Scotia Real Estate – NSAR,https://www.nsar.ca,,902-468-2515,,Halifax,,NS,,"7 Scarfe Court, Dartmouth, NS B3B 1W4",,,,,
qc-immo-oaciq,achatImmobilier,OACIQ – Organisme courtage immobilier QC,https://www.oaciq.com,,1-800-440-7170,,Province de Québec,,QC,,"4905, boul. Lapinière, bureau 2200, Brossard, QC J4Z 0G2",,,,,
on-orea,achatImmobilier,OREA – Ontario Real Estate Association,https://www.orea.com,,416-445-9910,,Province de l'Ontario,,ON,,"99 Duncan Mill Rd, Toronto, ON M3B 1Z2",,,,,
qc-immo-montreal-achat,achatImmobilier,Programme Accès Logis Montréal,https://montreal.ca/logement,,514-872-4630,,Montréal,,QC,,"1550, rue Metcalfe, Montréal, QC H3A 1X6",,,,,
qc-immo-schl-qc,achatImmobilier,SCHL – Bureau Montréal,https://www.cmhc-schl.gc.ca,,514-283-2222,,Montréal,,QC,,"1100, boul. René-Lévesque Ouest, bureau 200, Montréal, QC H3B 5J7",,,,,
sk-cmhc-sk,achatImmobilier,SCHL – Saskatchewan,https://www.cmhc-schl.gc.ca,,1-800-668-2642,,Province de la Saskatchewan,,SK,,N/A — service téléphonique/en ligne,,,,,
on-cmhc-on,achatImmobilier,SCHL – Société canadienne d'hypothèques,https://www.cmhc-schl.gc.ca,,1-800-668-2642,,Province de l'Ontario,,ON,,N/A — service téléphonique/en ligne,,,,,
nu-foodbank-nu,alimentation,Agvvik Society – Aide alimentaire,https://qajuqturvik.ca/fr/nos-programmes,,867-979-1277,,Iqaluit,,NU,,"Iqaluit, NU X0A 0H0",,,,,
ba-drummondville,alimentation,Banque alimentaire Drummond,https://www.comptoiralimentairedrummond.com/fr,,819-478-4243,,Drummondville,,QC,,"1655, rue Corriveau Drummondville (Québec) J2C 1Y9",,Banque alimentaire desservant Drummond. Source: bad.qc.ca.,,,
ab-calgary-food,alimentation,Calgary Food Bank,https://www.calgaryfoodbank.com,,403-253-2055,,Calgary,,AB,,"5000 11 St SE, Calgary, AB T2H 2Y5",,,,,
on-daily-bread,alimentation,Daily Bread Food Bank,https://www.dailybread.ca,,416-203-0050,,Toronto,,ON,,"191 New Toronto St, Toronto, ON M8V 2E7",,,,,
ab-edmonton-food,alimentation,Edmonton Food Bank,https://www.edmontonsfoodbank.com,,780-425-4190,,Edmonton,,AB,,"11508, 120 Street NW, Edmonton AB T5G 2Y2",,,,,
on-foodbank-on,alimentation,Feed Ontario – Réseau banques alimentaires,https://feedontario.ca,,905-624-9896,,Province de l'Ontario,,ON,,"4370 Dixie Rd, Mississauga, ON L4W 1N7",,,,,
bc-greater-vancouver-food,alimentation,Greater Vancouver Food Bank,https://www.foodbank.bc.ca,,604-876-3601,,Vancouver,,BC,,"1150 Station St, Vancouver, BC V6A 4C7",,,,,
on-harvest-table,alimentation,Harvest Table Food Bank Hamilton,https://harvesttable.ca,,905-528-6445,,Hamilton,,ON,,"3303 Mainway, Burlington, ON L7M 1A6",,,,,
tableedeschefs-qc,alimentation,La Tablée des Chefs,https://tableedeschefs.org,,450-462-5443,,Saint-Bruno-de-Montarville,,QC,,"1390, rue Marie-Victorin, Saint-Bruno-de-Montarville, QC J3V 1J3",,Récupération de surplus alimentaires des hôtels/restaurants pour les organismes. Source: tableedeschefs.org.,,,
qc-ali-cuisines-amitie,alimentation,Les Cuisines collectives du Grand Plateau,https://cuisinescollectives.org,,514-840-1133,,Montréal,,QC,,"4359, rue Drolet, Montréal, QC H2W 2L7",,Cuisines collectives sur le Plateau-Mont-Royal et alentours. Source : cuisinescollectives.org.,,,
