id,score,categorie,sous_categorie,nom,ville,province,telephone,adresse,site_web,description,horaires,urgent,couvre_province,lat,lng,verifie_le,verifie_par
ab-habitat-ab,95,achatImmobilier,Accession propriété,Habitat for Humanity Alberta,Calgary,AB,403-263-4184,"119, 58 Ave SE, Calgary, AB T2H 2C6",https://www.habitatsouthernab.ca/,,Service essentiel Alberta.,,,51.0131,-114.0561,2026-05-01,csv-validation-2026-05-01
qc-immo-schl-qc,95,achatImmobilier,Programme accession propriété,SCHL – Bureau Montréal,Montréal,QC,514-283-2222,"1100, boul. René-Lévesque Ouest, bureau 200, Montréal, QC H3B 5J7",https://www.cmhc-schl.gc.ca,,"Lun-ven 9h-17h. Programmes d'aide à l'achat, financement, services notariaux.",,,45.5021,-73.5681,2026-05-01,csv-validation-2026-05-01
bc-habitat-bc,95,achatImmobilier,Accession propriété,Habitat for Humanity BC,Vancouver,BC,604-629-3328,"2300, Henry St, Port Moody, BC V3H 1K7",https://habitat.ca/en/restore/find-a-restore,,Service essentiel Colombie-Britannique.,,,49.2941,-122.8641,2026-05-01,csv-validation-2026-05-01
on-orea,95,achatImmobilier,Services immobiliers,OREA – Ontario Real Estate Association,Province de l'Ontario,ON,416-445-9910,"99 Duncan Mill Rd, Toronto, ON M3B 1Z2",https://www.orea.com,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,,,43.7431,-79.3441,2026-05-01,csv-validation-2026-05-01
bc-rebgv,95,achatImmobilier,Services immobiliers,Association immobilière du Grand Vancouver,Vancouver,BC,604-730-3000,"2433 Spruce St, Vancouver, BC V6H 4C8",https://www.rebgv.org,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,,,49.2631,-123.1381,2026-05-01,csv-validation-2026-05-01
qc-immo-fciq,95,achatImmobilier,Programme accession propriété,FCIQ – Fédération chambres immobilières QC,Province de Québec,QC,514-762-2440,"600, chemin du Golf, Île-des-Soeurs, QC H3E 1A8",https://www.fciq.ca,,"Lun-ven 9h-17h. Programmes d'aide à l'achat, financement, services notariaux.",,,45.4831,-73.5401,2026-05-01,csv-validation-2026-05-01
mb-habitat,95,achatImmobilier,Accession propriété,Habitat for Humanity Winnipeg,Winnipeg,MB,204-989-4700,"220, Elgin Ave, Winnipeg, MB R3A 1N6",https://www.habitat.mb.ca/,,Service essentiel provincial.,,,49.8991,-97.1291,2026-05-01,csv-validation-2026-05-01
ns-nsar,95,achatImmobilier,Services immobiliers,Nova Scotia Real Estate – NSAR,Halifax,NS,902-468-2515,"7 Scarfe Court, Dartmouth, NS B3B 1W4",https://www.nsar.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,,,44.6394,-63.58272,2026-05-01,csv-validation-2026-05-01
qc-immo-montreal-achat,95,achatImmobilier,Programme accession propriété,Programme Accès Logis Montréal,Montréal,QC,514-872-4630,"1550, rue Metcalfe, Montréal, QC H3A 1X6",https://montreal.ca/logement,,"Lun-ven 9h-17h. Programmes d'aide à l'achat, financement, services notariaux.",,,45.4917,-73.5753,2026-05-01,csv-validation-2026-05-01
qc-immo-oaciq,95,achatImmobilier,Programme accession propriété,OACIQ – Organisme courtage immobilier QC,Province de Québec,QC,1-800-440-7170,"4905, boul. Lapinière, bureau 2200, Brossard, QC J4Z 0G2",https://www.oaciq.com,,"Lun-ven 9h-17h. Programmes d'aide à l'achat, financement, services notariaux.",,,46.8041,-71.21584,2026-05-01,csv-validation-2026-05-01
